t, eta
4.348348348348348225e+01,5.330495198418656599e-01
4.354354354354354228e+01,5.442536715773402811e-01
4.360360360360360232e+01,5.501493405661018743e-01
4.366366366366366236e+01,5.510783544172720427e-01
4.372372372372372240e+01,5.474212885822025143e-01
4.378378378378378244e+01,5.395727660111613311e-01
4.384384384384384248e+01,5.279184340830482824e-01
4.390390390390390252e+01,5.128147245115651787e-01
4.396396396396396256e+01,4.945723408358633777e-01
4.402402402402402259e+01,4.734442143778107015e-01
4.408408408408408263e+01,4.496184330545821006e-01
4.414414414414414267e+01,4.232163895019080968e-01
4.420420420420420271e+01,3.942961278465437203e-01
4.426426426426426275e+01,3.628606047855622574e-01
4.432432432432432279e+01,3.288703327770751694e-01
4.438438438438438283e+01,2.922596527181716142e-01
4.444444444444444287e+01,2.529557007414720560e-01
4.450450450450450290e+01,2.108989971587606482e-01
4.456456456456456294e+01,1.660645013839253947e-01
4.462462462462462298e+01,1.184819486692546969e-01
4.468468468468468302e+01,6.825431383858394929e-02
4.474474474474474306e+01,1.557333236120467430e-02
4.480480480480480310e+01,-3.926885405942155682e-02
4.486486486486486314e+01,-9.587267825321565962e-02
4.492492492492492318e+01,-1.537292871337101463e-01
4.498498498498498321e+01,-2.122241278403415587e-01
4.504504504504504325e+01,-2.706460090037061117e-01
4.510510510510510329e+01,-3.282014038930095023e-01
4.516516516516516333e+01,-3.840335101927647155e-01
4.522522522522522337e+01,-4.372453506729068740e-01
4.528528528528528341e+01,-4.869260008006452423e-01
4.534534534534534345e+01,-5.321788726050883378e-01
4.540540540540540349e+01,-5.721508761060634107e-01
4.546546546546546352e+01,-6.060612253374588754e-01
4.552552552552552356e+01,-6.332286579015833361e-01
4.558558558558558360e+01,-6.530958949513894218e-01
4.564564564564564364e+01,-6.652502797740598162e-01
4.570570570570570368e+01,-6.694396925531702625e-01
4.576576576576576372e+01,-6.655830390195880408e-01
4.582582582582582376e+01,-6.537748423091651606e-01
4.588588588588588379e+01,-6.342837197617098299e-01
4.594594594594594383e+01,-6.075447880362905284e-01
4.600600600600600387e+01,-5.741462988299085302e-01
4.606606606606606391e+01,-5.348110518975123240e-01
4.612612612612612395e+01,-4.903733509455805439e-01
4.618618618618618399e+01,-4.417524515069295998e-01
4.624624624624624403e+01,-3.899235899916120851e-01
4.630630630630630407e+01,-3.358877736906388245e-01
4.636636636636636410e+01,-2.806415488542153280e-01
4.642642642642642414e+01,-2.251479468257261973e-01
4.648648648648648418e+01,-1.703097378639993331e-01
4.654654654654654422e+01,-1.169460024544031473e-01
4.660660660660660426e+01,-6.577286657885322851e-02
